price,area,price_per_m2,bedroom,toilet,location,description
"3,3 tỷ","89,53 m²","36,86 tr/m²",2,2,"Long Biên, Hà Nội","Chiết khấu căn 2PN giá 4,07 tỷ trừ trực tiếp vào giá bán chỉ còn 3,3 tỷ. Căn càng lớn CK càng cao. Chung cư cao cấp Khai Sơn City - Long Biên. Bùng nổ giao dịch tháng 12 - Chính sách ưu đãi chưa từng có của CĐT dành cho khách hàng:* Chính sách ưu đãi tháng 12/2023: + Hỗ trợ vay 65% lãi suất 0% 15 tháng. + Tặng ngay viên kim cương 200 triệu. + Tặng bộ điều hòa Multi 150 triệu. + Chiết khấu thanh toán sớm 6,5% Giá căn hộ. + Tặng gói hoàn thiện nội ..."
"4,45 tỷ",130 m²,"34,23 tr/m²",3,2,"Hà Đông, Hà Nội","* Ra hàng quỹ căn 3N - 4N Giá tốt nhất Hà Đông. - Dự án Hồ Gươm Plaza: Trần Phú, Hà Đông. Full tiện ích: Ga Văn Quán, siêu thị, bể bơi 4 mùa, gym, spa, nhà hàng... - Diện tích 120 - 136m². - Giá chỉ từ 34 tr/m². - Đóng 30% nhận nhà ở ngay, tiến độ thanh toán: 3 năm) (25% - 30% - 15%). * Đặc biệt chương trình quà tặng: + Nội thất: 3tr/m². + Voucher 10tr - mua quần áo trong hệ thống Hồ Gươm. - Bank hỗ trợ 60%, 18 tháng lãi suất 0%. - Thanh toán nha..."
"47,04 tỷ","134,4 m²",350 tr/m²,3,3,"Thái Bình, Thái Bình","Bán nhà riêng lô đầu góc đối diện công viên Kỳ Bá, đẹp nhất tỉnh Thái Bình chính chủ 134.4m², mặt đường 24m. Chính chủ cần bán nhà đầu góc, mặt đường 24m giao 2 tuyến đường chính trung tâm thành phố Thái Bình, một căn duy nhất vị trí đắc địa nhất tỉnh Thái Bình. Vị trí: Ngã tư Lê Quý Đôn - Lê Đại Hành, khu đô thị Kỳ Bá, đối diện Công viên Kỳ Bá (công viên to đẹp hoành tráng nhất tỉnh Thái Bình). Gần Trường tiểu học Kỳ Bá, trường mầm non Fairy Dre..."
"1,4 tỷ",43 m²,"32,56 tr/m²",1,,"Gia Lâm, Hà Nội","Cập nhật bảng giá căn 1 - 2 - 3PN chung cư Vinhomes Ocean Park. LH: 0969 812 ***. https://chuyennhuong-oceanpark.phongduan.com.vn 1. Bảng giá: + Căn hộ studio. - Diện tích: 28 - 36m² giá full 980tr tầng 2, tầng 5, tầng 8, tầng 21, tầng 23. + Căn hộ 1 phòng ngủ. - Diện tích: 43m², 53m². - Giá bán: Giá full 1,450 tỷ tầng 2, tầng 6, tầng 9, tầng 21, tầng 23. + Căn hộ 2 phòng ngủ. - Diện tích: 60m². - Giá bán: Giá full 1,680 tỷ tầng 6, tầng 16, tầng ..."
Giá thỏa thuận,240 m²,,,,"Tây Hồ, Hà Nội","Thông tin chi tiết: - Diện tích 240m² (căn góc, view vườn hoa, 1 trong những căn song lập đẹp nhất dự án). - Nhà xây 3 tầng + 1 tum. - Xây thô hoàn thiện bên ngoài. - Nhà tôi đã có sổ đỏ.Liên hệ xem nhà: 0346 213 ***"
"5,5 tỷ",350 m²,"15,71 tr/m²",3,3,"Thanh Thủy, Phú Thọ","Biệt thự Vườn Vua Resort Villas 2023 - 2024 giai đoạn 4 - chiết khấu khủng! Mua đợt này là lãi ngay. Giá trị tiện ích tăng x2 nhưng giá biệt thự chưa tăng. Giảm tới 30% - cam kết LN 12%/năm. Tăng giá x2 trong 3 năm. Duy nhất 5 căn giá chỉ từ 5,5 tỷ/căn full nội thất 5* tiêu chuẩn Wyndham Mỹ. Nhận nhà khai thác luôn - sổ đỏ từng căn: Website chính thức: bietthuvuonvua.vn- Biệt thự Thanh Liên 350m² chỉ 5.5 tỷ. - Biệt thự Bích Liên 300m² chỉ 4.5 tỷ...."
"2,6 tỷ",42 m²,"61,9 tr/m²",1,1,"Nam Từ Liêm, Hà Nội","Mở bán đợt đầu tiên chưa qua đợt tăng giá nào, thời điểm đầu tư sinh lời gấp đôi với căn hộ hạng sang Lumiere Evergreen - Vinhomes Smart CityLumiere - dòng sản phẩm cao cấp lần đầu tiên xuất hiện tại Hà Nội của Masterise Homes.- Tọa lạc tại mảnh đất vàng cuối cùng tại đô thị Smart City, tòa A3 Aura thừa hưởng toàn bộ tiện ích của Smart City, nằm kế cận bộ ba công viên liên hoàn và hồ trung tâm. Ngoài ra, tòa A3 Aura mang đến cư dân trải nghiệm hệ..."
"5,27 tỷ",74 m²,"71,19 tr/m²",2,2,"Nam Từ Liêm, Hà Nội","- Vị trí đối diện công viên 10,2ha của đại đô thị Smart City, Nam Từ Liêm, Hà Nội - Dự án cao cấp nhất tại Vinhomes Smart City do Masterise Homes phát triển. - Cơ hội ĐẦU TƯ SINH LỜI và gia nhập cộng đồng TINH HOA đẳng cấp BẬC NHẤT tại KĐT Vinhomes Smart City.Chính sách ""Early Bird"" cực hấp dẫn từ CĐT:- Chỉ thanh toán 20% đến lúc nhận nhà (T5/2026) - Vây 80% lãi suất 0% trong 30 tháng (T5/2027) - Nhận nhà về ở 1 năm không cần trả gốc lãi - Thanh ..."
"4,3 tỷ",85 m²,"50,59 tr/m²",2,2,"Tân Phú, Hồ Chí Minh","* Liên hệ trực tiếp với phòng kinh doanh chủ đầu tư để có thông tin chi tiết về bảng giá chi tiết từng phân khu và loại căn, chính xác uy tín và đúng thị trường.* Nhận ký gửi - chuyển nhượng mua bán sản phẩm thuộc dự án Celadon City: Diamond Alnata, Diamond Brilliant, Diamond Alnata Plus, Diamond Centery, The Glen...* Tiến độ bàn giao từng phân khu: - Chuẩn bị bàn giao: + Diamond Alnata: Đã nhận nhà. + Diamond Alnata Plus: Nhận 2023. + Diamond Br..."
"2,93 tỷ",54 m²,"54,26 tr/m²",2,2,"Nam Từ Liêm, Hà Nội","Quỹ căn Ngoại giao độc quyền giá cũ, chính sách cũ nhận nhà ở ngay tại Masteri West Heights - Cam kết giá tốt nhất - CK 20%GTCH miễn gốc lãi - Miễn phí dịch vụ - Quà tặng 900 tr LH/Zalo/Call: 0876 688 ***. Có 4 loại hình thiết kế cho anh/ chị lựa chọn:* Căn hộ Studio: - Diện tích từ 28m - 33m.* Căn 1PN + 1: - Diện tích từ 43m - 47m. - Thiết kế gồm 1PN + 1(có thể thiết kế 2PN), WC, bếp, phòng khách, ban công rộng, thoáng mát.* Căn 2PN: - Diện tích t..."
"1,58 tỷ",59 m²,"26,78 tr/m²",2,1,"Gia Lâm, Hà Nội","Bên em đang có quỹ căn chuyển nhượng giá siêu tốt chủ nhà không có nhu cầu sử dụng nên bán gấp, nhà mới chưa qua sử dụng không có nhu cầu ở nên muốn nhượng lại, ưu tiên cho anh chị khách hàng có nhu cầu ở thực hoặc mua để đầu tư cho thuê... Quý khách quan tâm xin vui lòng liên hệ trực tiếp em Hoa 0986 784 ***, em sẽ tư vấn và dẫn quý khách đi xem căn hộ trực tiếp 24/7.Bảng giá cập nhật liên tục:- Căn 31 m² (Studio) giá bán 960 triệu (giá gốc 1 tỷ)...."
Giá thỏa thuận,"115,5 m²",,,,"Văn Giang, Hưng Yên","Mở bán căn shop 2 mặt, 1 mặt view trực diện sông, 1 mặt là phố đi bộ kinh doanh sầm uất. - Mã căn: PT.TV-1xx. - Diện tích đất: 115,5 m². - Tổng xây dựng: 409 m². - Mặt tiền: 6m. - Xây dựng: 5 tầng 1 mái. - Giá VAY: 45tr/m² sàn thương mại (HTLS 0%/ 22 tháng). - Vốn tự có chỉ: 5,5 tỷ. - Giá sau chiết khấu: 39,9tr/m² sàn thương mại.* Quà tặng: Xe điện VF9 giá thị trường 2,2 tỷ.* CĐT đã hoàn thiện sẵn tầng 1, sẵn khách thuê đợi chủ mới ký tên.* Vị tr..."
"4,5 tỷ",103 m²,"43,69 tr/m²",3,2,"Nam Từ Liêm, Hà Nội","Quỹ căn 3phòng ngủ ký mới CĐT, diện tích 103m². Ban công Đông Nam. Phân khu Sakura. Giá 4,5 tỷ. Sổ hồng vĩnh viễn. Hãy liên hệ em ngay 0899 857 *** để có Chính sách bán hàng tốt nhất hiện tại. Phân khu Sakura được thiết kế theo phong cách Nhật Bản đẳng cấp. Bàn giao nội thất tiêu chuẩn cao cấp của CĐT. Chiết khẩu khủng. Vay Hỗ trợ ân gốc lãi đến hết T3/2025. Tối đa vay tới 70% GTCH. Anh/chị quan tâm đến căn hộ 3 phòng ngủ diện tích 103m², ban công ..."
"1,45 tỷ",34 m²,"42,65 tr/m²",1,1,"Nam Từ Liêm, Hà Nội",Chính chủ bán căn hộ Studio 34m². Phân khu mới view nội khu bể bơi. Giá 1 tỷ 450. Nhà đã có sổ. Liên hệ: 0899 857 ***. Nhận nhà ở luôn. Ban công thoáng mát. View căn hộ nội khu bể bơi. Tầng trung. Mọi thông tin căn hộ và giá bán. Anh chị vui lòng gọi cho em 0899 857 ***. Chính chủ không qua môi giới.
"7,1 tỷ",40 m²,"177,5 tr/m²",3,3,"Quận 11, Hồ Chí Minh","Cần bán gấp nhà phố 3 lầu 1 trệt, nhà mới sữa mới hoàn toàn người mua có thể vào sử dụng ngay. Vị trí Căn đầu tiên của hẻm xe hơi, nhà gần bệnh viện chợ rẫy, khu sầm uất, không ngập nước, không kẹt xe. Liên hệ: Ms Lan 0902 800 ***"
Giá thỏa thuận,"92,8 m²",,,,"Văn Giang, Hưng Yên",Mở bán quỹ căn độc quyền mặt quảng trường Pizza và mặt sông The Venice view trực diện sân khấu. Nơi diễn ra Show Grand Voyage hàng ngày. 1. Quỹ PT. TV - 5X hướng Đông Nam. CĐT cam kết thuê tối thiểu 80 - 100 triệu/tháng. - Mã căn: PT. TV - 5X. - Diện tích đất: 92.8 m. Diện tích sử dụng thêm: 56m². - Tổng xây dựng: 476 m. - Mặt tiền: 7m. - Xây dựng: 5 tầng 1 tum. - Giá VAY: 50tr/m sàn thương mại (HTLS 0%/ 22 tháng). - Vốn tự có chỉ: 7 tỷ. - Giá sa...
"3,98 tỷ",62 m²,"64,19 tr/m²",,,"Nam Từ Liêm, Hà Nội","Độc quyền quỹ căn 2PN view hồ cuối cùng còn lại tại tòa B Masteri West Height. Thanh toán sớm được chiết khấu giá chỉ còn từ 3,98 tỷ. Ngân hàng hỗ trợ vay 80%, ân hạn gốc lãi 24 tháng.Ngoài ra e còn quỹ 15 căn đẹp view nội khu, tầng thấp tại tòa A và D, có thể nhận nhà ở ngay. Masteri West Height, dự án căn hộ cao cấp thương hiệu Masterise Homes với những tiêu chuẩn bàn giao và dịch vụ đẳng cấp nhất Vinhomes Smart City.Anh chị quan tâm muốn đi xe..."
"2,7 tỷ",50 m²,54 tr/m²,1,1,"Bình Tân, Hồ Chí Minh","* Mở bán 100 căn tuyệt đẹp. - Căn hộ Studio: 35m² 2 - 2.2 tỷ. - Căn hộ 1PN 1: 50m² 2.7 - 3 tỷ. - Căn hộ 2PN + 1: 75m² 3.2 - 3.6 tỷ. - Căn hộ 3PN góc: 85m² 3.9 - 4.2 tỷ. * Chiết khấu tiền mặt ngay 10%. Thanh toán chỉ 20 % đến khi nhận nhà! - Ngân hàng hỗ trợ vay 75% không lãi suất & ân hạn gốc 24 tháng. (Cuối năm 2024 nhận nhà, cuối năm 2025 mới trả lãi). * Miễn phí quản lý đến 31/12/2025. Booking 50 triệu/ suất (có hoàn lại) và nhận quà thiết bị ..."
"3,1 tỷ",63 m²,"49,21 tr/m²",2,2,"Bình Tân, Hồ Chí Minh","- Vị trí: Nằm ngay tại vị trí cửa ngõ đi vào dự án Privia nên cực kỳ thuận lợi cho cư dân có thể về nhà và lên tổ ấm mình một cách nhanh chóng. Ngoài ra tháp A cũng là tháp sẽ có sảnh lễ tân duy nhất tại Privia, sảnh lễ tân của Tháp A vô cùng rộng rãi và sang trọng không khác gì khách sạn 5 sao, giúp cho cư dân có thể tự hào khi dẫn bạn bè hay người thân đến chơi. Những thương hiệu và ngành hàng nổi tiếng sẽ tập trung ở Shophouse của Tháp A, nên ..."
"1,78 tỷ",55 m²,"32,36 tr/m²",2,1,"Gia Lâm, Hà Nội","Quỹ căn cắt lỗ sâu, studio, 1PN, 2 - 3PN, hỗ trợ vay ngân hàng, cam kết giá sát và rẻ nhất thị trường. E Mạnh Hải Vinhomes (zalo/call: 0868 984 ***) kính gửi anh chị danh sách các căn Studio tới 3PN cắt lỗ, giảm giá sâu, giá rẻ sát nhất thị trường tháng 12/2023.Căn Studio: Diện tích 24 - 36m² thông thuỷ. - Studio S2 30,6m tầng trung ban công đông nam, view thoáng full nội thất. Giá 1,262 tỷ bao phí. - Studio s1 view đẹp diện tích 35m² giá shock: 1...."
"4,25 tỷ",75 m²,"56,67 tr/m²",2,2,"Quận 2, Hồ Chí Minh","Cập nhật liên tục rỗ hàng Masteri Thảo Điền tất cả các căn hộ với giá tốt nhất thị trường.Hỗ trợ tư vấn và xem nhà miễn phí 24/7.Hotline 0938 799 *** Nguyễn Liêm (Zalo, Viber, Telegram). - Ở đâu giá rẻ, em bao giá rẻ hơn. - Đã có sổ hồng, giấy tờ pháp lý đầy đủ. - Hỗ trợ tư vấn nhiệt tình + tận tâm + lấy uy tín làm đầu + không mua cũng không sao.Bên em cam kết: Giá rẻ hơn thị trường, trả sát giá chủ nhà. Miễn sao khách hàng ưng ý, với mức giá th..."
4 tỷ,80 m²,"49,99 tr/m²",,,"Quận 9, Hồ Chí Minh","Siêu ưu đãi vốn 900 triệu cam kết thuê lại 300 triệu/2 năm liên hệ ngay Hoàng Vinh 0932 778 ***. Thông tin thật, cơ hội đầu tư tốt. Chi tiết căn hộ: - Loại căn: 1,2,3 phòng ngủ, có đầy đủ, kể cả Studio. - Diện tích: Thêm diện tích căn hộ ở đây. - Cao độ căn hộ: 3.45m. - Hướng: Đông Nam, Đông Bắc có hết. - Dự kiến bàn giao: Tháng 09/2024. - Giá ưu đãi chỉ cần 900 triệu. + Thanh toán cho chủ đầu tư.Ưu đãi đặc biệt: - Nhận gói nội thất từ 300 - 400 tr..."
12 tỷ,76 m²,"157,9 tr/m²",,,"Thanh Xuân, Hà Nội","BÁN 2 TÒA NHÀ CHCC MINI PHỐ CHÍNH KINH, THANH XUÂN, HÀ NỘI,  ĐẦY ĐỦ HỆ THỐNG PCCC, CƠ HỘI ĐẦU TƯ SINH LỜI CAO - KHÔNG THỂ BỎ QUA! Căn hộ chung cư mini tọa lạc tại số 145 và 119 phố Chính Kinh, phường Nhân Chính, quận Thanh Xuân, Hà Nội, sẵn sàng chờ đón chủ nhân mới. - TÒA 1:   Tại số 145 phố Chính Kinh  Diện tích: 76m² x 8 tầng, Gồm 14 căn hộ khép kín  Hiện đang cho thuê với giá 6.000.000, VNĐ/phòng/tháng chưa tính dịch vụ, đã full kín phòng thu..."
"3,86 tỷ",91 m²,"42,4 tr/m²",3,2,"Hà Đông, Hà Nội","Quỹ căn hộ cao cấp Grand Sunlake đẹp, tầng đẹp Trung Tâm quận Hà Đông, ký trực tiếp với CĐT: * Vị trí trung tâm Hà Đông: Sát Ga tàu cao tốc, cạnh hồ Văn Quán mát mẻ. - Bán kính 2km không thiếu thứ gì: Trường học từ Mầm Non đến Đại Học, Bệnh viện, Công viên, hồ điều hòa, Bể bơi bốn mùa,... - 5 tầng TTTM + tầng 6 sinh hoạt cộng đồng dành riêng cho cư dân + 3 tầng hầm để xe hơn 700 chỗ, - Các loại diện tích 2 phòng ngủ: 70m², 91m², 92m² thông thủy. ..."
"2,79 tỷ",30 m²,93 tr/m²,3,3,"Hai Bà Trưng, Hà Nội","Không gồng nổi, bán gấp phố Hồng Mai, nhà 3 tầng, ô tô đỗ cửa, vị trí đắc địa, giá cắt lỗ 2.79 tỷ. Nhà 3 tầng, hướng Bắc, diện tích 30m², mặt tiền 3.5m, giá 2.79 tỷ (có thương lượng), ô tô đỗ cửa. Địa chỉ: Số 20, ngách 26, ngõ 107, Hồng Mai, Quỳnh Lôi, Hai Bà Trưng, Hà Nội. Googlemap: https://maps.app.goo.gl/w3hNcouePycRCrKTA Video Youtube: https://youtu.be/zbhh6k7BiVIĐánh giá của chúng tôi. Mua để làm nhà ở: 5 sao. Mua để làm văn phòng: 3 sao. M..."
3 tỷ,60 m²,50 tr/m²,2,1,"Bình Tân, Hồ Chí Minh","Mở bán block AK NEO đẹp nhất dự án Akari City, giá từ 3 tỷ căn 2PN, chiết khấu lên đến 9%.Giỏ hàng giá gốc Chủ Đầu Tư, nhiều vị trí đẹp, thiết kế hiện đại tinh tế, tặng nội thất cao cấp. - Đa dạng diện tích: 60 - 63m² (2PN - 1WC), 79 - 87m² (2PN, 2WC), 93 - 97m² (3PN, 2WC). - Tất cả căn hộ đều có ban công đón nắng và gió tự nhiên. - Thanh toán theo tiến độ, đặc biệt chỉ thanh toán 30% đến lúc nhận nhà. - Mỗi đợt chỉ thanh toán 5%, cách mỗi 2 - 3 ..."
Giá thỏa thuận,156 m²,,5,5,"Văn Giang, Hưng Yên",Hiện tại bên em đang có quỹ căn ở mọi vị trí đẹp sẽ phù hợp đến khách hàng quan tâm đến Grand World Hà Nội!Giá tốt nhất tại Mega Grand World Hà Nội vẫn còn nhé. Dành cho khách VIP nhanh tay lựa chọn! Giá từ 10 - 30 tỷ/căn. 1. Quỹ căn Góc trung tâm diện tích xây 100m²/sàn - chiều cao 5 tầng và đã có khách thuê 80 triệu/tháng. 2. Quỹ căn sẻ khe thoáng bên cạnh góc xây 112m²/sàn đang cho thuê 80 triệu/tháng. 3. Quỹ căn mặt sông Vencie diện tích 80m²...
15 tỷ,78 m²,"192,31 tr/m²",5,5,"Văn Giang, Hưng Yên","Hiện tại Em đang có quỹ căn đẹp giá rất tốt tại tổ hợp thương mại Mega Grand World Hà Nội! 1. Shophouse Phố Tây mặt sông Venice trung tâm có tổng diện tích xây dựng 394m² cho thuê 70 triệu/tháng. Giá bán ck tối đa: 15 tỷ tts (Giá tốt nhất thị trường). 2. Shophouse căn góc ngay quảng trường piaza và trục đường phố biển 30m. Tổng diện tích xây dựng 317,6m² cho thuê 75 triệu/tháng. Giá bán ck tối đa: 18.3 tỷ tts (Căn góc Giá Tốt). 3. Hàm cá mập siêu..."
"23,6 tỷ","92,8 m²","254,31 tr/m²",5,5,"Văn Giang, Hưng Yên","Tôi chính chủ bán lại căn shophouse mặt quảng trường dự án Mega Grandworld Hà Nội! Chỉ duy nhất 2/20 căn mặt quảng trường piaza nơi đón hàng nghìn lượt khách mỗi ngày - địa điểm checkin mà ai cũng phải đến. VIP nhất Tổ hợp Mega Grandworld HN. Diện tích xây dựng T1: 92,8m². Diện tích tổng xây dựng: 476m². Mặt tiền: 6m cao 5 tầng. Đang cho thuê: 90 triệu/tháng. Giá gốc: 23,6 tỷ (+ + ) - giá bán. Chính sách riêng cho căn shophouse này: 1. Tặng xe ô ..."
"8,3 tỷ",80 m²,"103,75 tr/m²",,,"Văn Giang, Hưng Yên","Cơ hội cuối năm sở hữu nhà ở Vinhomes giá tốt - tháng 12/2023! Quỹ căn Liền kề, Biệt thự, Shophouse bán Cắt lỗ tại Vinhomes Ocean Park 2 tháng 12/2023.- Quỹ Shophouse kinh doanh trục chính đường lớn: Shophouse 70m² đường 20m, tiềm năng kinh doanh tốt bán 7.8 tỷ (bao phí). Shophouse 80m² đường 20m, tiềm năng kinh doanh tốt bán 8,3 tỷ (bao phí). Shophouse 80m đường lớn 30m (Đường Đại Dương) giá từ 11,5 tỷ (bao phí). Shophouse 109m, 2 mặt đường: Đườ..."
6 tỷ,110 m²,"54,54 tr/m²",2,2,"Thanh Xuân, Hà Nội","Minh Tuấn chuyên mua bán, cho thuê chung cư Royal City, 72A Nguyễn Trãi, Thanh Xuân, Hà Nội. Để được tư vấn nhanh chính xác nhất quý khách hàng gọi ngay. Hotline: 0961 599 *** - Giá cam kết rẻ nhất thị trường. - Tư vấn nhiệt tình chính xác nhất. - Văn phòng ngay tại Royal nên xem nhà bất kể khi nào 24/7. - Ký hợp đồng trực tiếp với chủ nhà. - Khách mua được xem trực tiếp căn hộ, làm việc chính chủ. - Hỗ trợ tư vấn về pháp lý và thủ tục sang tên sổ..."
"1,74 tỷ",56 m²,31 tr/m²,,,"Hoài Đức, Hà Nội","+ Bán 56m² đất thổ cư SĐCC tại xã Song Phương, Hoài Đức, Hà Nội. + Đất ngõ rộng 2,6m có hai mặt ngõ trước và sau rất đẹp. + Cách trục đường chính hai ô tô tránh nhau 100m. + Chiều rộng mặt tiền 5,13m. + Hậu rộng 5,13 m. + Chiều sâu 11,02 m và 10,74m. + Đất trong khu dân cư văn minh và phát triển. + Gần chợ, gần trường mầm non, trường cấp 1,2,3. + Gần trung tâm hành chính xã có rất nhiều tiện ích. + Cách Đại Lộ Thăng Long 1 km, cách trung tâm Hà N..."
